zcta5,county
ZIP Census Tabulation Area,county
66002,20005
66002,20043
66002,20087
66002,20103
66006,20045
66006,20059
66007,20103
66008,20043
66010,20011
66010,20107
66012,20103
66012,20209
66013,20091
66013,20121
66014,20003
66014,20107
66015,20001
66015,20003
66016,20005
66017,20013
66017,20043
66018,20091
66019,20091
66020,20103
66021,20045
66021,20091
66021,20121
66023,20005
66024,20043
66025,20045
66025,20091
66025,20103
66026,20107
66026,20121
66027,20103
66030,20091
66032,20003
66033,20003
66033,20059
66033,20107
66035,20043
66039,20001
66039,20003
66039,20107
66040,20107
66040,20121
66041,20005
66042,20059
66043,20103
66044,20045
66044,20087
66044,20103
66046,20045
66047,20045
66048,20103
66049,20045
66050,20045
66052,20103
66053,20121
66054,20087
66054,20103
66056,20107
66058,20005
66060,20005
66060,20087
66061,20091
66062,20091
66064,20059
66064,20121
66066,20087
66067,20059
66070,20087
66071,20121
66072,20003
66072,20107
66072,20121
66073,20087
66075,20107
66076,20059
66077,20005
66078,20059
66079,20059
66080,20003
66080,20059
66083,20091
66083,20121
66085,20091
66086,20087
66086,20103
66087,20043
66088,20005
66088,20087
66090,20043
66091,20003
66092,20045
66092,20059
66092,20121
66093,20003
66093,20031
66094,20013
66094,20043
66095,20003
66095,20059
66097,20087
66097,20103
66101,20209
66102,20209
66103,20209
66104,20209
66105,20209
66106,20209
66109,20103
66109,20209
66111,20209
66112,20209
66118,20209
66202,20091
66203,20091
66204,20091
66205,20091
66206,20091
66207,20091
66208,20091
66209,20091
66210,20091
66211,20091
66212,20091
66213,20091
66214,20091
66215,20091
66216,20091
66217,20091
66218,20091
66219,20091
66220,20091
66221,20091
66223,20091
66224,20091
66226,20091
66227,20091
66401,20197
66402,20139
66402,20177
66403,20117
66403,20131
66404,20131
66406,20117
66407,20149
66407,20197
66408,20131
66409,20045
66409,20177
66411,20117
66411,20161
66412,20117
66412,20201
66413,20111
66413,20139
66413,20197
66414,20139
66415,20131
66416,20085
66416,20131
66417,20131
66418,20085
66419,20085
66419,20087
66422,20085
66422,20149
66423,20197
66424,20005
66424,20013
66425,20013
66427,20117
66427,20149
66428,20131
66429,20087
66431,20177
66431,20197
66432,20085
66432,20131
66432,20149
66434,20013
66436,20005
66436,20085
66436,20087
66438,20117
66439,20005
66439,20013
66439,20085
66440,20085
66441,20041
66441,20061
66442,20061
66442,20161
66449,20161
66450,20149
66451,20139
664XX,20161
66501,20197
66502,20061
66502,20149
66502,20161
66502,20197
66503,20161
66506,20161
66507,20197
66508,20117
66509,20085
66510,20139
66512,20085
66512,20087
66512,20177
66514,20061
66515,20013
66516,20013
66516,20085
66517,20161
66518,20117
66520,20149
66521,20131
66521,20149
66522,20131
66523,20111
66523,20139
66524,20045
66524,20059
66524,20139
66524,20177
66526,20197
66527,20013
66528,20059
66528,20139
66531,20161
66532,20013
66532,20043
66533,20085
66533,20177
66534,20013
66534,20131
66535,20149
66536,20085
66536,20149
66536,20177
66536,20197
66537,20139
66538,20131
66539,20085
66539,20177
66540,20085
66540,20131
66540,20149
66541,20117
66542,20177
66543,20139
66544,20117
66544,20131
66546,20139
66546,20177
66547,20149
66547,20197
66548,20117
66548,20201
66549,20149
66550,20013
66550,20085
66550,20131
66552,20085
66554,20161
66603,20177
66604,20177
66605,20177
66606,20177
66607,20177
66608,20177
66609,20177
66610,20177
66610,20197
66611,20177
66612,20177
66614,20177
66614,20197
66615,20177
66615,20197
66616,20177
66617,20085
66617,20087
66617,20177
66618,20177
66619,20177
66701,20011
66701,20037
66710,20205
66711,20011
66711,20037
66712,20037
66713,20021
66714,20205
66716,20001
66716,20011
66717,20205
66720,20001
66720,20133
66720,20205
66720,20207
66724,20037
66725,20021
66732,20001
66733,20133
66734,20037
66735,20037
66736,20049
66736,20073
66736,20125
66736,20205
66738,20011
66738,20107
66739,20021
66740,20133
66741,20011
66743,20037
66746,20011
66746,20037
66748,20001
66748,20133
66748,20207
66749,20001
66751,20001
66753,20021
66753,20037
66753,20099
66754,20011
66754,20107
66755,20001
66755,20011
66756,20037
66757,20125
66757,20205
66758,20031
66758,20207
66759,20205
66760,20037
66761,20207
66762,20021
66762,20037
66763,20037
66767,20107
66769,20011
66770,20021
66771,20133
66772,20001
66772,20011
66773,20021
66775,20133
66776,20133
66776,20205
66777,20073
66777,20205
66777,20207
66778,20021
66779,20011
66780,20011
66780,20037
66780,20133
66781,20021
66781,20037
66782,20021
66783,20207
66801,20017
66801,20111
66830,20111
66833,20111
66834,20061
66834,20127
66834,20197
66835,20111
66835,20127
66838,20017
66838,20115
66838,20127
66839,20031
66840,20015
66840,20017
66840,20115
66842,20015
66843,20017
66843,20115
66845,20017
66846,20017
66846,20111
66846,20127
66846,20197
66849,20061
66849,20127
66850,20017
66851,20115
66852,20031
66852,20073
66852,20207
66853,20073
66854,20031
66854,20111
66856,20031
66856,20139
66857,20031
66858,20017
66858,20115
66859,20115
66859,20127
66860,20073
66860,20111
66861,20115
66862,20017
66863,20073
66864,20031
66864,20111
66865,20111
66866,20079
66866,20115
66868,20031
66868,20111
66868,20139
66869,20017
66870,20073
66870,20207
66871,20031
66871,20139
66872,20127
66901,20029
66901,20157
66930,20157
66932,20183
66933,20161
66933,20201
66935,20157
66936,20089
66937,20027
66937,20201
66938,20027
66938,20029
66938,20157
66938,20201
66939,20089
66939,20157
66940,20157
66941,20089
66942,20089
66942,20157
66943,20201
66944,20201
66945,20201
66946,20201
66948,20029
66948,20089
66948,20157
66949,20089
66951,20147
66951,20183
66952,20089
66952,20183
66953,20201
66955,20201
66956,20089
66958,20201
66959,20157
66960,20157
66960,20201
66962,20027
66962,20201
66963,20089
66964,20157
66966,20157
66967,20183
66968,20201
66970,20089
669XX,20183
67001,20173
67002,20015
67003,20077
67004,20077
67004,20191
67005,20035
67008,20015
67008,20035
67009,20077
67010,20015
67012,20015
67013,20191
67016,20173
67017,20015
67017,20173
67018,20077
67018,20191
67019,20035
67020,20079
67020,20155
67020,20173
67021,20151
67022,20077
67022,20191
67023,20035
67024,20019
67024,20035
67025,20095
67025,20155
67025,20173
67026,20173
67026,20191
67028,20007
67028,20097
67028,20151
67029,20033
67029,20097
67030,20173
67031,20173
67031,20191
67035,20095
67035,20151
67035,20155
67036,20077
67037,20173
67038,20035
67039,20015
67039,20035
67041,20015
67042,20015
67045,20073
67047,20049
67047,20073
67047,20205
67049,20077
67049,20191
67050,20173
67051,20035
67051,20191
67052,20173
67053,20115
67054,20097
67056,20079
67057,20007
67058,20077
67058,20095
67059,20047
67059,20097
67059,20151
67060,20173
67061,20007
67061,20077
67062,20079
67062,20113
67063,20115
67065,20007
67065,20151
67066,20151
67067,20173
67068,20095
67068,20155
67070,20007
67071,20007
67072,20015
67072,20035
67072,20049
67073,20115
67074,20015
670XX,20035
67101,20173
67102,20035
67103,20191
67104,20007
67105,20191
67106,20095
67106,20173
67106,20191
67107,20079
67107,20113
67108,20155
67108,20173
67109,20097
67110,20035
67110,20173
67110,20191
67111,20095
67112,20007
67112,20095
67114,20015
67114,20079
67114,20113
67114,20115
67117,20079
67118,20077
67118,20095
67118,20173
67118,20191
67119,20035
67119,20191
67120,20173
67120,20191
67122,20049
67122,20073
67123,20015
67124,20151
67127,20025
67127,20033
67128,20095
67131,20035
67132,20015
67133,20015
67134,20007
67134,20151
67135,20079
67135,20173
67137,20049
67137,20073
67138,20007
67138,20077
67140,20191
67142,20095
67143,20007
67144,20015
67146,20035
67146,20191
67147,20079
67147,20173
67149,20173
67150,20077
67151,20079
67151,20115
67152,20191
67154,20015
67154,20079
67155,20033
67155,20097
67156,20035
67159,20077
67159,20095
67202,20173
67203,20173
67204,20173
67205,20173
67206,20173
67207,20173
67208,20173
67209,20173
67210,20173
67211,20173
67212,20173
67213,20173
67214,20173
67215,20173
67216,20173
67217,20173
67218,20173
67219,20173
67220,20173
67226,20173
67230,20015
67230,20173
67235,20173
67301,20125
67330,20099
67332,20099
67333,20125
67334,20019
67335,20099
67335,20125
67335,20205
67336,20021
67336,20099
67337,20099
67337,20125
67340,20125
67341,20099
67342,20099
67344,20019
67344,20049
67344,20125
67345,20049
67346,20019
67346,20049
67347,20019
67347,20125
67349,20049
67351,20099
67351,20125
67352,20019
67352,20049
67353,20019
67353,20049
67354,20099
67355,20019
67356,20021
67356,20099
67357,20099
67357,20133
67360,20019
67361,20019
67363,20125
67364,20125
673XX,20049
67401,20143
67401,20169
67410,20027
67410,20041
67416,20113
67416,20169
67417,20029
67418,20105
67418,20123
67420,20029
67420,20089
67420,20123
67422,20143
67423,20105
67425,20053
67425,20169
67427,20053
67427,20159
67428,20113
67428,20115
67430,20089
67430,20123
67430,20141
67430,20183
67431,20041
67432,20027
67432,20143
67432,20161
67436,20029
67436,20143
67437,20141
67437,20183
67438,20115
67439,20053
67439,20105
67441,20041
67442,20169
67443,20113
67444,20053
67444,20159
67445,20029
67445,20143
67446,20089
67446,20123
67447,20027
67447,20161
67448,20041
67448,20113
67448,20169
67449,20041
67449,20115
67449,20127
67450,20009
67450,20053
67451,20041
67452,20105
67452,20123
67454,20053
67455,20105
67456,20113
67456,20169
67457,20159
67458,20027
67458,20143
67459,20053
67460,20113
67464,20053
67464,20113
67466,20027
67466,20029
67466,20143
67467,20143
67468,20027
67470,20143
67470,20169
67473,20141
67474,20141
67474,20183
67475,20041
67475,20115
67478,20123
67480,20041
67480,20143
67480,20169
67481,20105
67482,20041
67483,20115
67484,20105
67484,20143
67484,20169
67485,20123
67485,20141
67487,20027
67487,20041
67487,20061
67490,20053
67490,20105
67490,20167
67491,20113
67491,20159
67492,20041
67501,20155
67502,20155
67502,20159
67505,20155
67510,20155
67511,20009
67511,20165
67512,20159
67513,20145
67513,20165
67514,20155
67515,20135
67515,20195
67516,20135
67518,20101
67518,20135
67519,20047
67519,20145
67520,20165
67521,20135
67521,20195
67522,20079
67522,20155
67523,20083
67523,20145
67524,20159
67525,20009
67525,20159
67526,20009
67526,20159
67526,20185
67529,20145
67530,20009
67530,20185
67543,20155
67544,20009
67545,20185
67546,20079
67546,20113
67546,20155
67546,20159
67547,20047
67547,20083
67548,20165
67550,20145
67550,20185
67552,20047
67553,20165
67554,20159
67556,20051
67556,20135
67556,20165
67557,20047
67557,20145
67557,20151
67557,20185
67559,20145
67559,20165
67560,20135
67561,20155
67563,20047
67563,20057
67563,20083
67564,20009
67565,20009
67565,20165
67566,20155
67567,20009
67567,20145
67567,20165
67567,20185
67568,20155
67570,20095
67570,20155
67572,20135
67572,20195
67573,20159
67574,20145
67575,20145
67575,20165
67576,20151
67576,20185
67578,20185
67579,20155
67579,20159
67581,20155
67583,20151
67583,20155
67583,20185
67584,20063
67584,20101
67584,20135
67584,20195
67601,20051
67621,20147
67622,20137
67623,20141
67623,20183
67625,20065
67626,20167
67628,20183
67629,20039
67629,20137
67631,20065
67631,20195
67632,20065
67632,20163
67634,20167
67635,20039
67635,20179
67637,20051
67637,20195
67638,20183
67639,20147
67639,20163
67640,20051
67640,20167
67642,20065
67643,20039
67643,20179
67644,20147
67645,20065
67645,20137
67646,20065
67646,20137
67646,20147
67646,20163
67647,20147
67648,20105
67648,20141
67648,20167
67649,20141
67649,20167
67650,20065
67651,20051
67651,20141
67651,20163
67651,20167
67653,20039
67653,20137
67654,20137
67656,20065
67656,20195
67657,20065
67657,20163
67658,20141
67658,20167
67659,20065
67660,20051
67661,20147
67663,20051
67663,20163
67664,20137
67664,20147
67665,20009
67665,20167
67667,20051
67669,20163
67670,20147
67671,20051
67672,20065
67672,20195
67673,20141
67673,20167
67674,20051
67675,20141
67675,20163
676XX,20051
676XX,20163
676XX,20167
67701,20153
67701,20193
67730,20153
67731,20023
67732,20153
67732,20181
67732,20193
67733,20181
67734,20153
67734,20193
67735,20181
67736,20063
67737,20063
67737,20179
67738,20063
67738,20179
67739,20039
67739,20153
67740,20065
67740,20179
67741,20023
67741,20181
67743,20153
67743,20193
67744,20153
67745,20023
67745,20153
67747,20109
67747,20193
67748,20063
67748,20109
67748,20179
67748,20193
67749,20039
67749,20153
67751,20063
67751,20179
67752,20063
67752,20179
67753,20153
67753,20179
67753,20193
67756,20023
67757,20039
67757,20179
67758,20199
67761,20109
67761,20199
67762,20199
67764,20109
67764,20193
677XX,20063
677XX,20193
67801,20055
67801,20057
67801,20083
67831,20025
67834,20025
67834,20057
67834,20097
67835,20055
67835,20069
67836,20075
67837,20069
67837,20081
67837,20119
67838,20055
67838,20093
67839,20063
67839,20101
67840,20025
67841,20057
67841,20069
67842,20025
67842,20057
67844,20057
67844,20069
67844,20119
67846,20055
67846,20069
67846,20101
67849,20083
67849,20135
67850,20063
67850,20101
67850,20171
67851,20055
67853,20069
67854,20083
67855,20067
67855,20129
67855,20187
67857,20075
67857,20093
67859,20175
67860,20093
67861,20109
67861,20203
67862,20187
67863,20203
67864,20119
67865,20025
67865,20057
67867,20069
67867,20119
67868,20055
67869,20119
67869,20175
67870,20067
67870,20081
67870,20175
67871,20055
67871,20109
67871,20171
67871,20203
67876,20057
67876,20083
67877,20081
67877,20175
67878,20075
67879,20071
67880,20067
67880,20093
67882,20057
678XX,20025
678XX,20055
678XX,20063
678XX,20071
678XX,20075
678XX,20093
678XX,20109
678XX,20203
67901,20175
67901,20189
67950,20129
67951,20189
67952,20189
67953,20129
67954,20129
67954,20189
679XX,20129
