"zcta5","county","pop2k","afact"
"ZIP Census Tabulation Area","county","Total Pop, 2000 census","zcta5 to county alloc factor"
"66002","20005",12982,0.976 
"66002","20043",135,0.01 
"66002","20087",76,0.006 
"66002","20103",112,0.008 
"66006","20045",6046,0.989 
"66006","20059",65,0.011 
"66007","20103",3925,1 
"66008","20043",328,1 
"66010","20011",24,0.041 
"66010","20107",566,0.959 
"66012","20103",3007,0.316 
"66012","20209",6510,0.684 
"66013","20091",774,0.44 
"66013","20121",986,0.56 
"66014","20003",7,0.02 
"66014","20107",337,0.98 
"66015","20001",94,0.115 
"66015","20003",725,0.885 
"66016","20005",584,1 
"66017","20013",9,0.022 
"66017","20043",406,0.978 
"66018","20091",4389,1 
"66019","20091",339,1 
"66020","20103",1707,1 
"66021","20045",130,0.058 
"66021","20091",2018,0.894 
"66021","20121",110,0.049 
"66023","20005",1240,1 
"66024","20043",890,1 
"66025","20045",5567,0.957 
"66025","20091",245,0.042 
"66025","20103",3,0.001 
"66026","20107",122,0.202 
"66026","20121",483,0.798 
"66027","20103",6638,1 
"66030","20091",11233,1 
"66032","20003",5062,1 
"66033","20003",642,0.84 
"66033","20059",120,0.157 
"66033","20107",2,0.003 
"66035","20043",1260,1 
"66039","20001",12,0.017 
"66039","20003",675,0.975 
"66039","20107",5,0.007 
"66040","20107",2789,0.908 
"66040","20121",283,0.092 
"66041","20005",741,1 
"66042","20059",447,1 
"66043","20103",9409,1 
"66044","20045",30224,0.971 
"66044","20087",550,0.018 
"66044","20103",357,0.011 
"66046","20045",19981,1 
"66047","20045",15122,1 
"66048","20103",33860,1 
"66049","20045",20338,1 
"66050","20045",1564,1 
"66052","20103",1842,1 
"66053","20121",5607,1 
"66054","20087",2053,0.732 
"66054","20103",753,0.268 
"66056","20107",1825,1 
"66058","20005",391,1 
"66060","20005",266,0.235 
"66060","20087",868,0.765 
"66061","20091",42280,1 
"66062","20091",55077,1 
"66064","20059",30,0.005 
"66064","20121",6591,0.995 
"66066","20087",2614,1 
"66067","20059",15507,1 
"66070","20087",2198,1 
"66071","20121",11588,1 
"66072","20003",6,0.006 
"66072","20107",1012,0.979 
"66072","20121",16,0.015 
"66073","20087",2369,1 
"66075","20107",2319,1 
"66076","20059",2138,1 
"66077","20005",77,1 
"66078","20059",977,1 
"66079","20059",836,1 
"66080","20003",150,0.146 
"66080","20059",879,0.854 
"66083","20091",3783,0.625 
"66083","20121",2270,0.375 
"66085","20091",5373,1 
"66086","20087",37,0.005 
"66086","20103",6938,0.995 
"66087","20043",2042,1 
"66088","20005",41,0.016 
"66088","20087",2573,0.984 
"66090","20043",2601,1 
"66091","20003",338,1 
"66092","20045",350,0.096 
"66092","20059",2868,0.789 
"66092","20121",417,0.115 
"66093","20003",478,0.72 
"66093","20031",186,0.28 
"66094","20013",164,0.335 
"66094","20043",325,0.665 
"66095","20003",27,0.032 
"66095","20059",828,0.968 
"66097","20087",1129,0.997 
"66097","20103",3,0.003 
"66101","20209",14601,1 
"66102","20209",28819,1 
"66103","20209",14497,1 
"66104","20209",27452,1 
"66105","20209",3212,1 
"66106","20209",24283,1 
"66109","20103",137,0.009 
"66109","20209",15719,0.991 
"66111","20209",10828,1 
"66112","20209",11960,1 
"66118","20209",1,1 
"66202","20091",16848,1 
"66203","20091",20007,1 
"66204","20091",18538,1 
"66205","20091",14008,1 
"66206","20091",9626,1 
"66207","20091",13301,1 
"66208","20091",21830,1 
"66209","20091",18873,1 
"66210","20091",17900,1 
"66211","20091",3422,1 
"66212","20091",33578,1 
"66213","20091",26424,1 
"66214","20091",12099,1 
"66215","20091",25228,1 
"66216","20091",23436,1 
"66217","20091",3859,1 
"66218","20091",3081,1 
"66219","20091",8014,1 
"66220","20091",1499,1 
"66221","20091",6220,1 
"66223","20091",12862,1 
"66224","20091",6405,1 
"66226","20091",6906,1 
"66227","20091",1611,1 
"66401","20197",1735,1 
"66402","20139",35,0.013 
"66402","20177",2621,0.987 
"66403","20117",746,0.948 
"66403","20131",41,0.052 
"66404","20131",622,1 
"66406","20117",528,1 
"66407","20149",350,0.684 
"66407","20197",162,0.316 
"66408","20131",529,1 
"66409","20045",161,0.057 
"66409","20177",2659,0.943 
"66411","20117",1364,0.963 
"66411","20161",53,0.037 
"66412","20117",336,0.926 
"66412","20201",27,0.074 
"66413","20111",41,0.022 
"66413","20139",1817,0.973 
"66413","20197",10,0.005 
"66414","20139",3108,1 
"66415","20131",915,1 
"66416","20085",418,0.979 
"66416","20131",9,0.021 
"66417","20131",393,1 
"66418","20085",552,1 
"66419","20085",411,0.899 
"66419","20087",46,0.101 
"66422","20085",120,0.2 
"66422","20149",480,0.8 
"66423","20197",990,1 
"66424","20005",90,0.144 
"66424","20013",534,0.856 
"66425","20013",528,1 
"66427","20117",1457,0.977 
"66427","20149",35,0.023 
"66428","20131",520,1 
"66429","20087",620,1 
"66431","20177",47,0.064 
"66431","20197",685,0.936 
"66432","20085",63,0.141 
"66432","20131",23,0.051 
"66432","20149",362,0.808 
"66434","20013",5186,1 
"66436","20005",145,0.026 
"66436","20085",5357,0.972 
"66436","20087",9,0.002 
"66438","20117",124,1 
"66439","20005",217,0.078 
"66439","20013",2532,0.914 
"66439","20085",21,0.008 
"66440","20085",1903,1 
"66441","20041",133,0.006 
"66441","20061",21798,0.994 
"66442","20061",4263,0.375 
"66442","20161",7113,0.625 
"66449","20161",877,1 
"66450","20149",193,1 
"66451","20139",1731,1 
"664XX","20161",11,1 
"66501","20197",278,1 
"66502","20061",32,0.001 
"66502","20149",1859,0.047 
"66502","20161",37787,0.951 
"66502","20197",53,0.001 
"66503","20161",10874,1 
"66506","20161",2476,1 
"66507","20197",1016,1 
"66508","20117",4582,1 
"66509","20085",2327,1 
"66510","20139",833,1 
"66512","20085",100,0.032 
"66512","20087",2880,0.935 
"66512","20177",99,0.032 
"66514","20061",1580,1 
"66515","20013",514,1 
"66516","20013",60,0.144 
"66516","20085",357,0.856 
"66517","20161",1728,1 
"66518","20117",220,1 
"66520","20149",528,1 
"66521","20131",59,0.037 
"66521","20149",1531,0.963 
"66522","20131",69,1 
"66523","20111",45,0.011 
"66523","20139",4020,0.989 
"66524","20045",479,0.2 
"66524","20059",20,0.008 
"66524","20139",1853,0.774 
"66524","20177",41,0.017 
"66526","20197",732,1 
"66527","20013",423,1 
"66528","20059",69,0.074 
"66528","20139",866,0.926 
"66531","20161",1268,1 
"66532","20013",592,0.693 
"66532","20043",262,0.307 
"66533","20085",2,0.001 
"66533","20177",1626,0.999 
"66534","20013",167,0.046 
"66534","20131",3459,0.954 
"66535","20149",2347,1 
"66536","20085",19,0.006 
"66536","20149",2890,0.943 
"66536","20177",130,0.042 
"66536","20197",25,0.008 
"66537","20139",1382,1 
"66538","20131",3449,1 
"66539","20085",24,0.009 
"66539","20177",2537,0.991 
"66540","20085",554,0.904 
"66540","20131",50,0.082 
"66540","20149",9,0.015 
"66541","20117",304,1 
"66542","20177",2913,1 
"66543","20139",762,1 
"66544","20117",349,0.964 
"66544","20131",13,0.036 
"66546","20139",18,0.02 
"66546","20177",876,0.98 
"66547","20149",6207,0.953 
"66547","20197",307,0.047 
"66548","20117",955,0.995 
"66548","20201",5,0.005 
"66549","20149",1418,1 
"66550","20013",15,0.025 
"66550","20085",22,0.036 
"66550","20131",566,0.939 
"66552","20085",382,1 
"66554","20161",561,1 
"66603","20177",1998,1 
"66604","20177",23816,1 
"66605","20177",18944,1 
"66606","20177",12206,1 
"66607","20177",10026,1 
"66608","20177",5772,1 
"66609","20177",6964,1 
"66610","20177",6752,0.995 
"66610","20197",37,0.005 
"66611","20177",9981,1 
"66612","20177",2876,1 
"66614","20177",30139,0.999 
"66614","20197",22,0.001 
"66615","20177",1784,0.907 
"66615","20197",183,0.093 
"66616","20177",6310,1 
"66617","20085",25,0.003 
"66617","20087",404,0.049 
"66617","20177",7759,0.948 
"66618","20177",7794,1 
"66619","20177",3201,1 
"66701","20011",12346,0.997 
"66701","20037",34,0.003 
"66710","20205",885,1 
"66711","20011",49,0.067 
"66711","20037",681,0.933 
"66712","20037",2086,1 
"66713","20021",6027,1 
"66714","20205",173,1 
"66716","20001",46,0.083 
"66716","20011",509,0.917 
"66717","20205",527,1 
"66720","20001",126,0.011 
"66720","20133",11199,0.957 
"66720","20205",366,0.031 
"66720","20207",8,0.001 
"66724","20037",973,1 
"66725","20021",6030,1 
"66732","20001",327,1 
"66733","20133",2370,1 
"66734","20037",280,1 
"66735","20037",384,1 
"66736","20049",28,0.007 
"66736","20073",10,0.002 
"66736","20125",10,0.002 
"66736","20205",4212,0.989 
"66738","20011",405,0.923 
"66738","20107",34,0.077 
"66739","20021",5924,1 
"66740","20133",402,1 
"66741","20011",263,1 
"66743","20037",4285,1 
"66746","20011",26,0.085 
"66746","20037",279,0.915 
"66748","20001",2724,0.96 
"66748","20133",72,0.025 
"66748","20207",42,0.015 
"66749","20001",8572,1 
"66751","20001",1024,1 
"66753","20021",201,0.167 
"66753","20037",935,0.775 
"66753","20099",71,0.059 
"66754","20011",432,0.904 
"66754","20107",46,0.096 
"66755","20001",1191,0.969 
"66755","20011",38,0.031 
"66756","20037",1094,1 
"66757","20125",232,0.059 
"66757","20205",3716,0.941 
"66758","20031",3,0.012 
"66758","20207",253,0.988 
"66759","20205",44,1 
"66760","20037",117,1 
"66761","20207",287,1 
"66762","20021",288,0.012 
"66762","20037",23790,0.988 
"66763","20037",2839,1 
"66767","20107",513,1 
"66769","20011",524,1 
"66770","20021",1064,1 
"66771","20133",1089,1 
"66772","20001",269,0.9 
"66772","20011",30,0.1 
"66773","20021",909,1 
"66775","20133",254,1 
"66776","20133",1023,0.885 
"66776","20205",133,0.115 
"66777","20073",77,0.102 
"66777","20205",7,0.009 
"66777","20207",668,0.888 
"66778","20021",149,1 
"66779","20011",701,1 
"66780","20011",32,0.055 
"66780","20037",433,0.744 
"66780","20133",117,0.201 
"66781","20021",1505,0.979 
"66781","20037",32,0.021 
"66782","20021",263,1 
"66783","20207",2487,1 
"66801","20017",171,0.006 
"66801","20111",30188,0.994 
"66830","20111",300,1 
"66833","20111",609,1 
"66834","20061",98,0.112 
"66834","20127",133,0.152 
"66834","20197",645,0.736 
"66835","20111",1347,0.999 
"66835","20127",2,0.001 
"66838","20017",5,0.025 
"66838","20115",8,0.04 
"66838","20127",186,0.935 
"66839","20031",4101,1 
"66840","20015",401,0.484 
"66840","20017",56,0.068 
"66840","20115",372,0.449 
"66842","20015",325,1 
"66843","20017",270,0.978 
"66843","20115",6,0.022 
"66845","20017",1222,1 
"66846","20017",18,0.005 
"66846","20111",61,0.015 
"66846","20127",3901,0.979 
"66846","20197",5,0.001 
"66849","20061",168,0.272 
"66849","20127",450,0.728 
"66850","20017",254,1 
"66851","20115",821,1 
"66852","20031",658,0.883 
"66852","20073",68,0.091 
"66852","20207",19,0.026 
"66853","20073",496,1 
"66854","20031",159,0.161 
"66854","20111",829,0.839 
"66856","20031",1416,0.869 
"66856","20139",214,0.131 
"66857","20031",950,1 
"66858","20017",5,0.009 
"66858","20115",523,0.991 
"66859","20115",170,0.929 
"66859","20127",13,0.071 
"66860","20073",1279,0.887 
"66860","20111",163,0.113 
"66861","20115",3405,1 
"66862","20017",161,1 
"66863","20073",65,1 
"66864","20031",39,0.073 
"66864","20111",494,0.927 
"66865","20111",1068,1 
"66866","20079",104,0.053 
"66866","20115",1869,0.947 
"66868","20031",4,0.005 
"66868","20111",790,0.959 
"66868","20139",30,0.036 
"66869","20017",868,1 
"66870","20073",237,0.908 
"66870","20207",24,0.092 
"66871","20031",1349,0.969 
"66871","20139",43,0.031 
"66872","20127",1043,1 
"66901","20029",6876,0.979 
"66901","20157",150,0.021 
"66930","20157",132,1 
"66932","20183",201,1 
"66933","20161",24,0.067 
"66933","20201",336,0.933 
"66935","20157",2848,1 
"66936","20089",556,1 
"66937","20027",385,0.407 
"66937","20201",560,0.593 
"66938","20027",1,0.001 
"66938","20029",993,0.866 
"66938","20157",99,0.086 
"66938","20201",54,0.047 
"66939","20089",45,0.069 
"66939","20157",607,0.931 
"66940","20157",417,1 
"66941","20089",334,1 
"66942","20089",304,0.968 
"66942","20157",10,0.032 
"66943","20201",584,1 
"66944","20201",295,1 
"66945","20201",1126,1 
"66946","20201",153,1 
"66948","20029",577,0.855 
"66948","20089",13,0.019 
"66948","20157",85,0.126 
"66949","20089",757,1 
"66951","20147",85,0.106 
"66951","20183",718,0.894 
"66952","20089",13,0.019 
"66952","20183",660,0.981 
"66953","20201",739,1 
"66955","20201",166,1 
"66956","20089",1308,1 
"66958","20201",371,1 
"66959","20157",272,1 
"66960","20157",220,0.978 
"66960","20201",5,0.022 
"66962","20027",17,0.058 
"66962","20201",275,0.942 
"66963","20089",182,1 
"66964","20157",333,1 
"66966","20157",662,1 
"66967","20183",2430,1 
"66968","20201",1787,1 
"66970","20089",135,1 
"669XX","20183",13,1 
"67001","20173",1133,1 
"67002","20015",9357,1 
"67003","20077",2912,1 
"67004","20077",58,0.062 
"67004","20191",882,0.938 
"67005","20035",16256,1 
"67008","20015",172,0.219 
"67008","20035",615,0.781 
"67009","20077",875,1 
"67010","20015",12983,1 
"67012","20015",94,1 
"67013","20191",3350,1 
"67016","20173",355,1 
"67017","20015",1823,0.939 
"67017","20173",119,0.061 
"67018","20077",150,0.974 
"67018","20191",4,0.026 
"67019","20035",1067,1 
"67020","20079",1401,0.799 
"67020","20155",313,0.178 
"67020","20173",40,0.023 
"67021","20151",102,1 
"67022","20077",2,0.001 
"67022","20191",1814,0.999 
"67023","20035",240,1 
"67024","20019",986,0.911 
"67024","20035",96,0.089 
"67025","20095",614,0.177 
"67025","20155",25,0.007 
"67025","20173",2837,0.816 
"67026","20173",4203,0.958 
"67026","20191",186,0.042 
"67028","20007",41,0.155 
"67028","20097",34,0.129 
"67028","20151",189,0.716 
"67029","20033",1049,0.991 
"67029","20097",9,0.009 
"67030","20173",2361,1 
"67031","20173",41,0.017 
"67031","20191",2317,0.983 
"67035","20095",959,0.875 
"67035","20151",93,0.085 
"67035","20155",44,0.04 
"67036","20077",182,1 
"67037","20173",22499,1 
"67038","20035",676,1 
"67039","20015",3374,0.972 
"67039","20035",98,0.028 
"67041","20015",218,1 
"67042","20015",17127,1 
"67045","20073",4078,1 
"67047","20049",104,0.123 
"67047","20073",478,0.567 
"67047","20205",261,0.31 
"67049","20077",64,0.914 
"67049","20191",6,0.086 
"67050","20173",1766,1 
"67051","20035",32,0.066 
"67051","20191",453,0.934 
"67052","20173",5799,1 
"67053","20115",592,1 
"67054","20097",1943,1 
"67056","20079",2704,1 
"67057","20007",254,1 
"67058","20077",2189,0.99 
"67058","20095",22,0.01 
"67059","20047",102,0.104 
"67059","20097",845,0.863 
"67059","20151",32,0.033 
"67060","20173",11542,1 
"67061","20007",204,0.84 
"67061","20077",39,0.16 
"67062","20079",4053,0.994 
"67062","20113",26,0.006 
"67063","20115",3848,1 
"67065","20007",175,0.697 
"67065","20151",76,0.303 
"67066","20151",321,1 
